,response
165396,0
138401,0
76246,0
18938,1
93561,0
245926,1
239728,0
202527,1
263827,0
334906,1
105891,0
269210,0
97452,0
149651,0
345748,0
295681,0
14885,0
345107,1
369112,0
189397,1
348009,0
208084,0
256210,0
120746,0
275402,0
368879,0
281203,0
68241,0
292976,0
157789,1
222505,0
114780,0
83032,0
251683,0
207550,0
74643,0
199483,0
206380,0
311061,0
118877,0
136114,0
318250,0
365877,0
279533,0
365793,0
122584,0
280706,0
169783,0
31393,0
247410,1
372146,0
368446,0
84844,0
61094,0
73917,0
133278,0
329070,0
172596,0
325277,0
288944,0
148420,0
24764,0
246492,0
109952,0
84505,0
64105,0
163405,0
23637,0
284797,0
107536,0
327277,0
285361,0
121884,0
147476,1
164274,0
181691,0
281784,0
42073,0
336709,0
205310,0
134691,0
371437,1
64252,0
95277,1
105539,0
68450,0
28492,0
309248,0
143255,0
201577,0
259414,0
292935,0
55677,0
264107,0
136125,0
373649,0
69072,0
56676,0
259226,1
228780,0
333964,0
313541,0
326461,0
330892,1
368047,0
353996,0
279313,0
65789,0
369568,0
162283,0
2508,0
218456,0
102781,0
379279,1
87661,0
196238,1
218729,0
51749,1
314101,0
244254,1
92954,1
153949,0
345571,0
271777,0
143481,1
189852,0
202719,0
298673,0
215973,0
246965,0
185076,0
113815,1
380762,0
365206,0
204512,0
270844,0
367139,0
190405,0
318154,0
369856,0
204240,0
147111,0
174174,1
61475,0
265059,0
71470,0
281346,0
70524,0
48551,0
274674,0
347145,0
226052,0
39372,0
83557,0
267851,0
136077,1
231350,0
74616,0
128489,0
306405,0
341349,0
32735,0
79639,0
138993,0
317548,0
166014,0
359440,0
220211,0
156372,0
150866,0
235433,0
120446,0
161486,0
213493,0
106843,0
294209,0
188678,0
177496,1
50959,0
216288,0
279491,0
163475,0
107571,0
75127,0
45262,0
263533,0
211324,1
314311,1
182690,0
65978,0
195834,0
247531,0
119470,0
220071,0
347128,0
161524,0
188939,1
300081,0
139717,1
241695,1
257762,0
123446,0
93173,0
374749,0
192504,0
333859,0
168029,0
302562,0
305261,1
1768,0
345330,0
304974,0
86321,0
366877,0
292209,0
29847,0
186867,0
6959,0
321816,0
37617,0
157467,0
148507,0
312762,0
136356,0
152122,0
188929,0
213511,0
222678,0
73832,0
119953,0
121483,1
369459,0
207848,0
342040,0
190184,0
141412,1
186008,0
50405,0
40840,0
288583,0
218671,0
26704,0
206232,0
110885,1
164249,0
64186,0
144320,0
332682,0
128088,0
273529,1
150394,0
238165,0
87191,1
326446,0
75666,0
42530,0
200167,1
35977,0
193411,0
286231,0
301136,0
345912,0
198859,0
163478,0
193615,0
279144,0
371188,0
339954,0
338407,0
314022,0
116256,0
116137,0
171690,0
322075,0
220447,0
105756,0
56411,1
31686,0
349019,0
322993,1
187420,0
317801,0
291852,0
300210,0
365323,0
254851,0
322546,1
281432,0
338743,0
238997,0
117914,0
162472,0
118512,0
80292,0
269413,0
59776,0
140355,0
174793,0
123513,0
69021,0
371458,0
292777,0
177767,0
203897,0
95100,0
198128,0
346887,1
231817,0
25102,0
297015,0
7634,0
311509,0
170200,0
253353,0
321925,0
170587,0
244893,0
261043,0
69800,0
160127,0
293919,0
312425,0
199839,0
159666,0
184361,0
203796,0
107967,0
371885,0
197447,0
183297,0
60265,0
54635,0
126842,0
353965,0
199930,1
172763,0
254287,0
171182,0
24557,0
25624,0
16729,0
267698,0
271744,0
338434,0
62750,0
180715,0
255902,0
366924,0
217925,0
369041,0
215377,0
272175,0
361557,0
319228,0
314324,0
380297,0
360058,0
56307,0
357369,0
35433,0
303081,1
19844,0
295856,1
83120,1
277677,0
132219,0
215313,0
183099,0
291336,0
302490,0
122924,0
310584,0
162280,0
331415,0
169124,0
309498,0
45015,1
48156,0
293280,0
179917,0
213593,0
21127,0
127134,0
130528,0
217705,0
44461,1
297211,0
336989,0
333418,0
330082,0
163906,0
35134,0
300203,0
368884,0
97915,0
338804,0
65223,0
62115,0
113515,0
106247,0
136757,0
223371,0
117617,0
360940,0
52997,1
77970,0
13300,0
175765,0
107885,0
76170,0
68068,0
270817,0
242119,1
23576,0
168127,0
214588,0
278935,0
249638,0
298865,0
249134,1
221897,0
183037,0
290495,1
278549,0
50257,0
115376,0
355137,0
284858,0
97183,0
214634,0
353667,0
35468,0
218580,1
80916,1
303953,0
218675,0
46365,0
327716,0
333130,0
366761,0
367754,0
35659,0
235129,0
271187,0
199844,0
282570,0
12271,0
23131,0
163892,0
137422,0
96213,0
291144,0
374886,0
148401,0
321150,0
312905,1
369052,0
296303,0
308237,0
377865,0
273925,0
362176,0
361403,0
25306,0
112781,0
99347,0
299236,0
292989,0
327957,1
270760,0
292204,0
271514,1
244675,0
67495,0
89999,0
59271,0
11457,1
261386,0
125694,0
136636,0
207595,0
176601,0
30017,0
226951,0
71739,0
113316,0
102534,0
254002,0
51697,0
317978,1
192528,0
29200,0
33809,0
179031,0
102729,0
367423,0
267940,0
5027,0
349486,0
361748,0
188604,0
285649,0
278493,0
315627,0
189460,0
25432,0
336099,0
283053,0
343446,0
6251,0
66405,0
114315,0
146895,0
127042,0
358687,0
281462,0
229277,0
298907,0
346691,0
334731,0
103764,1
367869,0
368888,0
286820,0
159931,0
263977,0
111267,0
351441,1
314859,0
184502,0
298011,0
127829,0
282606,0
221383,0
301918,0
100831,0
72922,0
231772,0
287522,0
92359,0
247478,0
131133,0
328687,1
321100,0
233790,0
118158,0
244783,0
122657,0
302876,0
235409,0
164358,0
224611,0
353220,0
69919,0
224314,0
207324,0
11337,0
3696,1
32633,0
378311,0
221911,0
224263,0
317589,0
270315,0
211091,0
308108,0
361287,0
62961,1
7013,0
68811,1
273212,0
313595,0
325348,0
88763,0
266519,0
323939,0
203003,1
289664,1
353608,1
277987,0
5112,0
146893,0
281881,0
63312,0
20477,0
184524,0
323417,0
180089,0
346605,0
333912,0
41552,0
80177,0
121015,1
210794,0
176998,0
51398,1
217007,0
165944,0
95263,1
280751,0
322274,0
125235,0
240877,0
204720,0
15390,0
43909,0
299691,0
199401,0
376469,0
7371,1
19427,0
369822,1
284694,0
98676,0
337269,0
69479,0
54675,0
177521,1
75904,0
99205,0
21005,0
333316,0
371163,0
160401,0
188372,0
364418,0
140933,0
203690,0
344980,0
274536,0
187058,0
331465,0
319584,1
73445,1
63683,0
325519,1
37218,0
254664,0
115062,0
114099,0
277107,0
164500,0
221131,1
376966,1
57239,0
74698,0
369861,1
256379,1
281026,0
372891,0
149212,0
274106,0
207473,1
135152,0
26438,1
267043,0
203242,0
226244,0
179609,0
258589,0
23792,0
146611,0
169063,0
242705,0
236161,0
95754,0
167483,0
200422,0
219751,0
148719,0
108524,0
263203,0
72272,0
138590,0
220055,0
25090,0
376143,0
92910,0
15458,0
56173,0
229452,0
319904,1
305391,0
327077,0
206051,0
292202,0
322886,0
14419,0
366313,0
144221,0
363650,0
205376,0
24813,0
230055,0
354120,0
324229,0
220317,0
365146,0
44526,0
163797,0
119719,0
259225,0
294110,0
280767,0
271193,0
41386,0
69141,0
237543,0
165000,0
168910,0
295208,0
279524,0
127853,0
335524,0
78814,0
4230,0
204043,0
130551,0
345412,0
360233,0
268613,0
50932,0
378884,0
77419,0
379719,0
182497,0
266137,0
316701,0
164819,0
63958,0
314578,0
240337,0
32842,0
9643,0
122840,0
293711,0
219341,0
167458,0
151976,0
138912,1
359943,0
96646,0
377774,0
217234,1
126990,0
53165,0
184860,0
35398,0
329203,0
62637,0
87464,0
293651,0
105849,0
360224,1
130998,0
281403,0
83969,0
132931,0
72587,0
87988,0
179413,0
183402,0
372792,0
152448,0
19559,0
348440,0
154562,0
142603,0
20328,0
217375,0
234158,0
90620,0
323539,1
93575,0
39532,0
89449,0
142302,0
174362,0
25794,0
350613,0
132153,0
106991,0
340237,0
24053,0
20201,0
253077,1
251186,0
254226,0
298167,0
103052,1
69040,0
164712,1
337101,0
318966,0
356808,0
156884,0
73156,0
21786,0
81891,1
242275,0
358816,0
47971,0
308620,0
350795,0
173161,0
12179,0
86586,1
114110,1
365317,0
184585,0
97618,0
220500,1
84163,0
46565,0
82512,0
306079,0
164587,0
307534,0
88381,0
8914,0
310080,0
1243,0
278147,0
43466,0
42487,0
336223,0
282395,0
321517,0
63991,0
67551,0
338540,0
87882,0
108506,0
248624,0
246350,0
189506,0
254993,0
15649,0
307899,0
312153,0
28953,0
312742,0
77889,0
314094,0
348359,0
344860,1
367234,0
236078,0
298446,0
325874,0
286916,1
187565,0
284753,0
298293,0
57329,0
357749,0
347858,0
146316,0
159036,0
376569,0
99559,0
52125,0
148479,0
256119,0
381039,0
301552,0
47325,0
263590,0
210061,1
334355,0
68972,0
140244,0
294637,0
11248,0
265257,0
266648,0
274037,0
171751,0
227177,0
191578,0
250671,0
17431,0
318205,0
3938,0
314107,0
344197,0
312271,1
86165,0
70380,0
18973,0
275614,0
69129,0
223589,0
41963,0
202128,0
323913,0
246660,0
323479,0
257540,1
297651,1
109363,0
55673,0
162566,0
30031,0
38229,1
352337,0
36913,0
173566,1
38586,0
126515,0
325497,0
231473,0
345224,0
193994,0
306195,0
198475,0
43550,0
134293,0
5725,0
32952,1
302916,0
11751,1
310076,0
340841,0
5871,1
148303,0
144659,0
154859,0
162639,0
316263,0
126053,0
378639,1
158911,0
319560,1
259419,0
84120,0
903,0
95931,0
173374,0
105555,0
155175,0
278314,1
344928,0
124288,0
133319,0
246120,0
196762,0
180274,0
353838,0
177319,0
262714,1
157458,0
158032,0
314218,0
287195,1
78492,0
7449,0
250986,1
264044,0
72140,0
2527,0
345876,0
140911,0
103397,0
145535,0
299011,1
28946,1
246033,0
330320,0
321307,0
204609,0
140222,0
367688,1
367729,1
366072,1
343153,0
97113,0
104975,0
295996,0
339867,1
7664,0
311198,0
190429,0
245613,1
209156,0
351574,1
208369,0
4877,1
104006,0
185209,0
302861,0
242158,0
261186,1
348006,0
151981,0
362642,0
118841,0
272300,1
319981,0
186264,1
33411,0
40414,0
95901,0
264288,1
217824,0
69006,0
375232,0
347303,1
292324,0
205510,0
379469,0
360696,0
76993,0
248506,0
282555,0
279242,1
231382,0
42453,0
102866,0
252410,0
293510,0
162402,0
246324,0
32337,0
213059,1
117353,1
288162,0
371366,1
332882,1
88264,0
239713,0
94107,0
3495,0
258725,0
310911,0
265208,0
357285,1
184601,0
239069,0
302262,0
164604,0
117350,0
47712,1
224443,0
249138,0
72235,0
310734,0
274627,0
39259,0
142132,1
107170,0
238528,0
190435,0
34511,0
32415,0
244134,1
10897,0
236323,0
187455,1
258868,0
313266,0
360507,0
10597,0
60234,0
273292,1
6399,0
280585,0
342748,0
18272,0
60859,1
123011,0
64351,0
27711,0
56907,0
116311,0
333881,1
373691,0
199111,0
269382,0
157152,0
268530,0
270898,0
23570,0
182670,0
142304,1
40669,0
199491,0
253974,0
279716,0
244088,0
298296,0
47657,0
287506,0
111635,0
33916,0
36707,0
236200,0
134375,0
355264,0
188460,0
165202,0
125477,0
176264,0
201440,0
63486,0
367285,0
128163,0
352340,0
43864,0
193501,0
96218,0
342489,0
350206,0
199829,0
361770,0
161514,0
300823,0
206158,0
57484,1
220738,0
139919,0
175204,0
111479,0
258914,0
299630,0
76908,0
335372,1
307061,0
18774,0
255996,0
206180,0
360555,0
73582,0
300589,0
255023,0
81837,0
346811,0
67761,0
163211,0
277183,0
239384,0
306008,0
330847,0
83944,0
1677,0
89355,0
222230,1
156949,1
299297,0
209898,1
83584,1
177709,0
342476,0
375143,0
351229,0
80203,0
195829,0
278420,0
330047,0
59546,0
35694,1
81334,0
330863,0
354352,0
232823,0
380147,0
13463,1
379817,1
320012,0
172240,0
18047,0
16973,0
373612,1
947,0
220502,0
275497,1
11795,0
44191,1
287051,0
279652,0
206735,1
85256,0
299239,0
354214,0
338190,0
233682,0
97468,0
259943,0
157181,0
253982,0
182060,0
98067,0
134524,0
59183,0
282433,0
38802,0
205502,0
78385,0
162912,0
159362,0
151020,1
101526,0
4163,0
90687,0
46855,0
166306,0
314962,1
116559,0
14370,0
57209,0
309658,0
332270,1
323554,0
99922,0
376394,0
265517,0
222356,0
59059,0
355930,0
277958,0
149192,0
102794,0
233635,0
304230,1
106974,0
237651,0
194067,0
375715,1
274466,0
203718,0
16271,0
30331,0
252078,0
174413,0
174071,0
85317,1
188731,0
286343,0
339700,0
345802,0
121976,0
36698,0
191510,0
254779,0
127093,0
82653,0
315925,0
38249,0
99006,0
55387,0
350220,0
184046,0
279871,0
267674,0
250959,0
300712,0
217657,1
375319,0
303074,0
344646,1
225209,0
294622,0
333891,0
306363,0
330904,0
100060,0
25138,1
297889,0
150452,0
163145,0
241730,0
309086,0
225850,0
333447,1
361856,0
281558,0
264589,0
168721,1
136475,0
34583,0
6769,0
91575,0
304953,0
189333,0
298253,0
297352,0
349253,0
27457,0
20708,0
215571,0
246574,0
126007,0
163017,0
289275,0
104356,0
204083,0
131283,0
323078,1
301704,0
35,0
53780,0
361930,0
300728,1
299692,0
72526,0
238756,1
275941,0
147299,0
116726,0
228414,0
7747,1
167093,0
109586,0
255906,0
268418,0
322391,0
379981,0
34538,0
293433,0
46289,0
162918,0
286904,0
262721,0
59695,0
65542,1
83600,1
321120,0
318751,1
324455,0
288711,0
99064,0
197987,0
241884,0
357595,0
136773,0
199637,0
93729,0
39990,0
170647,0
61151,0
122006,0
86233,0
292574,0
222588,0
146468,0
187496,0
181006,0
361554,1
345620,1
193664,0
195817,0
248925,0
314900,0
147442,0
21558,0
307621,1
341335,0
360601,0
194061,0
281048,0
100334,0
267286,0
130230,1
334386,0
18648,0
233054,0
331090,0
287213,0
325183,0
226292,0
146127,0
272662,0
262186,0
116442,0
16897,0
98597,0
182124,1
258689,0
117658,0
3288,0
255215,0
139268,1
366111,0
288040,0
379735,0
309409,0
360494,0
120674,0
242731,0
36930,0
159821,0
102529,0
272194,1
149952,0
224605,0
72236,1
311662,0
349588,0
112966,0
144778,0
373288,0
290371,0
168129,0
106144,0
353578,0
277302,0
311362,0
81072,0
267893,0
89903,0
183485,0
365741,1
95037,0
227758,1
112488,0
74929,0
294593,0
62107,0
376273,0
43215,0
238657,0
136201,0
365444,0
24317,0
317637,0
70140,0
232572,0
185675,0
140796,0
182811,1
287606,0
224570,0
30901,0
91910,1
291540,0
243299,0
133637,1
38211,1
343829,0
219832,0
135369,0
98291,0
137673,0
248438,0
79603,0
218592,0
205742,0
315105,0
334933,1
268928,0
288443,1
136938,0
154761,0
66157,0
148022,0
16710,0
111588,0
267529,0
37067,0
95560,0
36741,0
67283,1
51604,0
93539,1
311694,0
217694,1
123189,0
2935,0
153936,1
98086,0
99834,1
26872,0
106012,0
264886,0
339195,0
321247,0
200407,0
153943,0
208184,1
204399,1
219321,0
146059,1
351921,0
128529,1
177842,0
124195,0
155805,0
219387,0
113123,0
20670,0
293105,0
241051,0
41508,0
379533,1
81467,0
115599,0
44901,0
267316,0
156710,0
216342,0
151666,0
59632,0
372197,0
230855,0
157737,0
190396,0
111363,0
4205,0
125973,0
313246,0
370685,0
307188,0
68253,0
12604,0
315922,1
203976,0
96273,0
297042,1
244600,0
152728,0
42497,0
251106,0
300996,0
192939,1
359172,0
187126,0
336753,0
172129,0
309898,0
277013,1
312602,0
23124,0
251595,0
80709,0
4944,0
277222,0
160875,1
109069,0
357428,0
272122,1
164477,0
82964,1
356994,0
178644,0
25705,0
247547,0
137419,0
370335,0
45353,0
75462,0
156448,0
232523,1
226557,0
314895,0
14803,0
160159,0
271654,0
173558,0
145860,0
211448,0
13700,0
18919,0
189067,0
178620,0
144112,1
366520,0
309968,0
38731,0
210431,0
331500,0
209730,0
365043,0
232501,0
197536,0
227588,0
339557,0
130322,0
358375,0
282320,0
279240,0
224193,0
18618,0
45196,0
242583,0
64025,0
276735,0
12813,0
72689,0
265278,0
137341,0
207776,0
266308,0
214499,0
163771,0
51593,0
167907,0
306053,0
279945,0
